dictionary,{{en-verb|dictionar|ies}}
resile,{{en-verb|resiles|resiling|resiled}}
metric,{{en-verb|metrics|metricking|metricked}}
nigger,{{en-verb}}
dick,{{en-verb}}
fart,{{en-verb}}
rape,{{en-verb|rap}}
rape,{{en-verb|rap}}
cum,{{en-verb|cums|cumming|came|past2=cummed|came|past_ptc2=cum|past_ptc3=cummed|past_ptc3_qual=nonstandard}}
port,{{en-verb}}
port,{{en-verb}}
cod,{{en-verb|cods|codding|codded}}
queef,{{en-verb}}
date,{{en-verb|dat}}
lol,{{en-verb|lols|loling|pres_ptc2=lolling|loled|past2=lol'd|past3=lolled|past4=lold}}
language,{{en-verb|languages|languaging|languaged}}
bot,{{en-verb|bots|botting|botted}}
bot,{{en-verb|bott}}
adverb,{{en-verb}}
flute,{{en-verb|flutes|fluting|fluted}}
interwiki,{{en-verb|interwikis|interwikiing|interwikied}}
tighten,{{en-verb}}
grok,{{en-verb|grokk}}
crap,{{en-verb|crapp}}
jitter,{{en-verb}}
stock,{{en-verb}}
hell,{{en-verb}}
hell,{{en-verb}}
pencil,{{en-verb|pencils|pencilling|pres_ptc_qual=UK|pres_ptc2=penciling|pres_ptc2_qual=US|pencilled|past_qual=UK|past2=penciled|past2_qual=US}}
conceal,{{en-verb}}
music,{{en-verb|musick}}
secret,{{en-verb|secrets|secretting|pres_ptc_qual=UK|pres_ptc2=secreting|pres_ptc2_qual=US|secretted|past_qual=UK|past2=secreted|past2_qual=US}}
BM,{{en-verb}}
war,{{en-verb|warr}}
peace,{{en-verb|peac}}
and,{{en-verb}}
nullify,{{en-verb|nullifies|nullifying|nullified}}
embellish,{{en-verb|es}}
hamper,{{en-verb}}
hamper,{{en-verb}}
relegate,{{en-verb|relegates|relegating|relegated}}
wage,{{en-verb|wag}}
bank,{{en-verb}}
bank,{{en-verb}}
bank,{{en-verb}}
tax,{{en-verb|es}}
open,{{en-verb}}
slow,{{en-verb}}
policy,{{en-verb|policies|policying|policied}}
scarp,{{en-verb}}
fruit,{{en-verb}}
husband,{{en-verb}}
religion,{{en-verb}}
big,{{en-verb|bigs|bigging|bigged}}
big,{{en-verb|bigs|bigging|bigged}}
wall,{{en-verb}}
wall,{{en-verb}}
send,{{en-verb|sends|sending|sent}}
market,{{en-verb}}
world,{{en-verb}}
take,{{en-verb|takes|taking|took|taken}}
but,{{en-verb|but|t|ing}}
say,{{en-verb|says|saying|said}}
say,{{en-verb}}
last,{{en-verb}}
last,{{en-verb}}
increase,{{en-verb|increas}}
company,{{en-verb|companies|companying|companied|companied}}
forecast,{{en-verb|forecasts|forecasting|forecast|past2=forecasted}}
add,{{en-verb}}
bollocks,{{en-verb|es}}
network,{{en-verb|network}}
SMS,{{en-verb|es}}
wireless,{{en-verb|wirelesses|wirelessing|wirelessed}}
work,{{en-verb|works|working|worked|past2=wrought|past2_qual=rare}}
radio,{{en-verb}}
um,{{en-verb|umm}}
consent,{{en-verb}}
time,{{en-verb|times|timing|timed}}
shrink,{{en-verb|shrinks|shrinking|shrank|past2=shrunk|shrunk|past_ptc2=shrunken}}
thou,{{en-verb}}
blood,{{en-verb}}
disease,{{en-verb|diseas}}
welcome,{{en-verb|welcom}}
new,{{en-verb}}
gas,{{en-verb|gases|gassing|gassed}}
gas,{{en-verb|gases|pres_3sg2=gasses|gassing|gassed}}
love,{{en-verb|lov}}
love,{{en-verb|lov}}
French,{{en-verb|es}}
feature,{{en-verb|featur}}
skill,{{en-verb}}
mortar,{{en-verb}}
pollute,{{en-verb|pollut}}
offset,{{en-verb|offsets|offsetting|offset|past2=offsetted}}
board,{{en-verb}}
LOL,{{en-verb|LOLs|LOLing|LOLed|past2=LOLd|past3=LOL'd}}
abstract,{{en-verb}}
absorb,{{en-verb|absorbs|absorbing|absorbed|past2=absorpt|past2_qual=archaic}}
abuse,{{en-verb|abus}}
abut on,{{en-verb|abuts on|abutting on|abutted on}}
accelerate,{{en-verb|accelerat}}
accomplish,{{en-verb|accomplishes|accomplishing|accomplished}}
accent,{{en-verb}}
accentuate,{{en-verb|accentuat}}
access,{{en-verb|es}}
acclaim,{{en-verb}}
accompany,{{en-verb|accompan|ies}}
acclimatize,{{en-verb|acclimatiz}}
accession,{{en-verb}}
affix,{{en-verb|es}}
accost,{{en-verb}}
accredit,{{en-verb}}
accrue,{{en-verb|accru}}
accumulate,{{en-verb|accumulat}}
accuse,{{en-verb|accus}}
accustom,{{en-verb}}
Barbados,{{en-verb|Barbadoses|Barbadosing|Barbadosed}}
burp,{{en-verb}}
ace,{{en-verb|ac}}
acerbate,{{en-verb|acerbat}}
ache,{{en-verb|aches|aching|ached|past2=oke|past2_qual=obsolete|ached|past_ptc2=aken|past_ptc2_qual=obsolete}}
achieve,{{en-verb|achiev}}
acidify,{{en-verb|acidif|ies}}
poison,{{en-verb}}
general,{{en-verb|generals|generalling|pres_ptc2=generaling|generalled|past2=generaled}}
shuttle,{{en-verb|shuttl}}
map,{{en-verb|mapp}}
index,{{en-verb|es}}
storm,{{en-verb}}
gag,{{en-verb|gags|gagging|gagged}}
ask,{{en-verb}}
night,{{en-verb}}
win,{{en-verb|wins|winning|won}}
drink,{{en-verb|drinks|drinking|drank|past2=drunk|past2_qual=southern US|past3=drinked|past3_qual=nonstandard|drunk|past_ptc2=drank|past_ptc2_qual=informal|past_ptc3=drinked|past_ptc3_qual=nonstandard|past_ptc4=drunken|past_ptc4_qual=obsolete or nonstandard}}
cow,{{en-verb}}
baby,{{en-verb|babies|babying|babied|babied}}
yes,{{en-verb|yeses|yessing|yessed}}
skirmish,{{en-verb|es}}
scrimmage,{{en-verb|scrimmag}}
stand,{{en-verb|stands|standing|stood|stood}}
bunk,{{en-verb}}
bunk,{{en-verb}}
Bigfoot,{{en-verb}}
radar,{{en-verb}}
ID,{{en-verb|IDs|IDing|IDed|pres_3sg2=ID's|pres_ptc2=ID'ing|past2=ID'ed}}
fuck,{{en-verb}}
thin,{{en-verb|thins|thinning|thinned}}
ground,{{en-verb}}
close,{{en-verb|clos}}
know,{{en-verb|knows|knowing|knew|known}}
mither,{{en-verb|mithers|mithering|mithered|mithered}}
create,{{en-verb|creat}}
kill,{{en-verb}}
buy,"{{en-verb|buys|buying|bought|bought|past_ptc2=boughten|past_ptc2_qual=rare, dialectal}}"
drug,{{en-verb|drugg}}
defer,{{en-verb|deferr}}
defer,{{en-verb|deferr}}
plant,{{en-verb}}
give,{{en-verb|gives|giving|gave|given}}
donner,{{en-verb}}
dare,{{en-verb|dare|pres_3sg2=dares|daring|dared|past2=durst|past2_qual=obsolete|dared}}
dare,{{en-verb|dar}}
bomb,{{en-verb}}
henna,{{en-verb}}
church,{{en-verb|es}}
small,{{en-verb}}
supersede,{{en-verb|supersedes|superseding|superseded}}
tomato,{{en-verb}}
bench,{{en-verb|es}}
bench,{{en-verb|es}}
bench,{{en-verb|es}}
black,{{en-verb}}
blue,{{en-verb|blues|blueing|pres_ptc2=bluing|blued}}
gold,{{en-verb}}
green,{{en-verb}}
grey,{{en-verb}}
pink,{{en-verb}}
pink,{{en-verb}}
pink,{{en-verb}}
pink,{{en-verb}}
purple,{{en-verb|purples|purpling|purpled}}
red,{{en-verb|reds|redding|redded|redded}}
red,{{en-verb|redd}}
silver,{{en-verb}}
white,{{en-verb|whit}}
yellow,{{en-verb|yellows|yellowing|yellowed|yellowed}}
third,{{en-verb}}
trumpet,{{en-verb}}
clapper,{{en-verb}}
cane,{{en-verb|can}}
duel,{{en-verb|duels|dueling|pres_ptc_qual=US|pres_ptc2=duelling|pres_ptc2_qual=UK|dueled|past_qual=US|past2=duelled|past2_qual=UK}}
soccer,{{en-verb}}
zipper,{{en-verb}}
young,{{en-verb}}
you,{{en-verb}}
yet,{{en-verb|yett}}
wrong,{{en-verb}}
write,{{en-verb|writes|writing|wrote|past2=writ|past2_qual=archaic|written|past_ptc2=writ|past_ptc2_qual=archaic}}
wring,{{en-verb|wrings|wringing|wrang|past2=wrung|past3=wringed|past3_qual=obsolete|wrung|past_ptc2=wringed|past_ptc2_qual=obsolete}}
weave,{{en-verb|weaves|weaving|wove|past2=weaved|woven|past_ptc2=weaved}}
weave,{{en-verb|weav}}
wound,{{en-verb}}
worst,{{en-verb}}
throne,{{en-verb|thron}}
woman,{{en-verb}}
laugh,{{en-verb}}
twig,{{en-verb|twigg}}
twig,{{en-verb|twigg}}
twig,{{en-verb|twigg}}
kindle,{{en-verb|kindl}}
kindle,{{en-verb|kindl}}
king,{{en-verb}}
queen,{{en-verb|queens|queening|queened|queened}}
cast,{{en-verb|casts|casting|cast}}
see,{{en-verb|sees|seeing|saw|seen}}
mouse,{{en-verb|mous}}
router,{{en-verb}}
noon,{{en-verb}}
keyboard,{{en-verb}}
age,{{en-verb|ages|ageing|pres_ptc2=aging|pres_ptc2_qual=US|aged}}
weekend,{{en-verb}}
penny,{{en-verb|pennies|pennying|pennied}}
nickel,{{en-verb}}
counterfeit,{{en-verb}}
morph,{{en-verb}}
pip,{{en-verb|pips|pipping|pipped}}
pip,{{en-verb|pips|pipping|pipped}}
pit,{{en-verb|pitt}}
pit,{{en-verb|pitt}}
nature,{{en-verb|natur}}
person,{{en-verb}}
cube,{{en-verb|cub}}
parallel,{{en-verb|parallels|paralleling|pres_ptc_qual=US|pres_ptc2=parallelling|pres_ptc2_qual=UK|paralleled|past_qual=US|past2=parallelled|past2_qual=UK}}
square,{{en-verb|squar}}
quine,{{en-verb|quin}}
quaff,{{en-verb}}
pi,{{en-verb|pies|piing|pied}}
symbol,{{en-verb|symbols|symboling|pres_ptc2=symbolling|symboled|past2=symbolled}}
jack,{{en-verb}}
jack,{{en-verb}}
invest,{{en-verb}}
thee,{{en-verb|thees|theeing|theed}}
thee,{{en-verb|thees|theeing|theed}}
shew,{{en-verb|shews|shewing|shewed|shewed|past_ptc2=shewn}}
design,{{en-verb}}
humor,{{en-verb}}
hydraulic,{{en-verb|hydraulics|hydraulicking|hydraulicked}}
league,{{en-verb|leagu}}
compass,{{en-verb|es}}
ICQ,{{en-verb}}
tennis,{{en-verb|tennises|tennising|tennised}}
knight,{{en-verb}}
skew,{{en-verb}}
cock,{{en-verb}}
cock,{{en-verb}}
tick,{{en-verb}}
tick,{{en-verb}}
copulate,{{en-verb|copulat}}
shit,{{en-verb|shits|shitting|shit|past2=shitted|past3=shat|shit|past_ptc2=shitted|past_ptc3=shat|past_ptc4=shitten}}
hand,{{en-verb}}
coin,{{en-verb}}
prick,{{en-verb}}
sieve,{{en-verb|siev}}
toe,{{en-verb|d}}
slashdot,{{en-verb|slashdott}}
handsome,{{en-verb|handsom}}
fall,{{en-verb|falls|falling|fell|past2=felled|past2_qual=in archaic sense only|fallen|past_ptc2=felled|past_ptc2_qual=in archaic sense only}}
finish,{{en-verb|finishes|finishing|finished}}
epitaph,{{en-verb}}
dear,{{en-verb}}
picture,{{en-verb|pictur}}
yak,{{en-verb|yakk}}
yacht,{{en-verb}}
xylophone,{{en-verb|xylophones|xylophoning|xylophoned}}
X-ray,{{en-verb}}
mind,{{en-verb}}
kangaroo,{{en-verb}}
hunt,{{en-verb}}
wiki,{{en-verb}}
boomerang,{{en-verb|boomerangs|boomeranging|boomeranged|boomeranged}}
U-turn,{{en-verb|head=[[U]]-[[turn]]|U-turns|U-turning|U-turned}}
cooee,{{en-verb|d}}
feat,{{en-verb}}
tree,{{en-verb|d}}
bongo,{{en-verb}}
example,{{en-verb|exampl}}
boy,{{en-verb}}
action,{{en-verb}}
concrete,{{en-verb|concret}}
article,{{en-verb|articl}}
case,{{en-verb|cas}}
case,{{en-verb|cas}}
subject,{{en-verb}}
neuter,{{en-verb}}
stem,{{en-verb|stemm}}
stem,{{en-verb|stemm}}
tense,{{en-verb|tens}}
tense,{{en-verb|tens}}
yeast,{{en-verb}}
mill,{{en-verb}}
leather,{{en-verb}}
quack,{{en-verb}}
quack,{{en-verb}}
island,{{en-verb}}
bird,{{en-verb}}
fish,{{en-verb|es}}
quail,{{en-verb}}
quail,{{en-verb}}
quarantine,{{en-verb|quarantin}}
quarrel,{{en-verb|quarrels|quarrelling|pres_ptc_qual=UK|pres_ptc2=quarreling|pres_ptc2_qual=US|quarrelled|past_qual=UK|past2=quarreled|past2_qual=US}}
quaver,{{en-verb|quavers|quavering|quavered|quavered}}
air,{{en-verb}}
amount,{{en-verb}}
angle,{{en-verb|angl}}
angle,{{en-verb|angl}}
answer,{{en-verb}}
ant,{{en-verb}}
arm,{{en-verb}}
arm,{{en-verb}}
quantitate,{{en-verb|quantitates|quantitating|quantitated}}
moon,{{en-verb}}
adore,{{en-verb|ador}}
north,{{en-verb}}
south,{{en-verb}}
west,{{en-verb}}
boom,{{en-verb}}
boom,{{en-verb}}
boom,{{en-verb}}
earth,{{en-verb}}
snake,{{en-verb|snak}}
ordinate,{{en-verb|ordinat}}
thick,{{en-verb}}
wax,{{en-verb|es}}
wax,"{{en-verb|waxes|waxing|waxed|past2=wex|past2_qual=archaic|waxed|past_ptc2=waxen|past_ptc2_qual=dialectal, archaic}}"
beeswax,{{en-verb|es}}
right,{{en-verb}}
parent,{{en-verb|parents|parenting|parented|parented}}
father,{{en-verb}}
mother,{{en-verb}}
mother,{{en-verb}}
brother,{{en-verb}}
sister,{{en-verb}}
son,{{en-verb|sonn|ing}}
grandfather,{{en-verb}}
grandparent,{{en-verb}}
honey,{{en-verb}}
wing,{{en-verb}}
hot,{{en-verb|hots|hotting|hotted}}
warm,{{en-verb}}
cool,{{en-verb}}
quadruple,{{en-verb|quadruples|quadrupling|quadrupled|quadrupled}}
quagmire,{{en-verb|quagmir}}
quake,{{en-verb|quakes|quaking|quaked|past2=quoke|past2_qual=archaic|past3=quook|past3_qual=obsolete}}
rainbow,{{en-verb}}
xerox,{{en-verb|es}}
pimple,{{en-verb|pimpl|ed}}
other,{{en-verb}}
finger,{{en-verb}}
flower,{{en-verb}}
good,{{en-verb}}
good,{{en-verb}}
thumb,{{en-verb}}
duck,{{en-verb}}
rue,{{en-verb|rues|ruing|pres_ptc2=rueing|rued}}
unvail,{{en-verb}}
upbar,{{en-verb|upbarr}}
habit,{{en-verb}}
hack,{{en-verb}}
hack,{{en-verb}}
hack,{{en-verb}}
hack,{{en-verb}}
mine,{{en-verb|min}}
jump,{{en-verb}}
hole,{{en-verb|hol}}
wood,{{en-verb}}
crew,{{en-verb}}
remote,{{en-verb|remot}}
complete,{{en-verb|complet}}
project,{{en-verb}}
visit,{{en-verb}}
experiment,{{en-verb}}
learn,{{en-verb|learns|learning|learned|past2=learnt|past2_qual=chiefly UK}}
learn,{{en-verb|learns|learning|learned|past2=learnt}}
bold,{{en-verb}}
crimson,{{en-verb}}
azure,{{en-verb|azur}}
mortgage,{{en-verb|mortgag}}
chocolate,{{en-verb|chocolat}}
cream,{{en-verb}}
bombard,{{en-verb}}
pigment,{{en-verb}}
dye,{{en-verb|dyes|dyeing|pres_ptc2=dying|dyed}}
maul,{{en-verb}}
gossip,{{en-verb|gossips|gossiping|pres_ptc2=gossipping|gossiped|past2=gossipped}}
martyr,{{en-verb}}
update,{{en-verb|updat}}
rat,{{en-verb|ratt}}
rat,{{en-verb|ratt}}
upblow,{{en-verb|upblows|upblowing|upblew|upblown}}
gray,{{en-verb}}
maroon,{{en-verb}}
room,{{en-verb}}
tan,{{en-verb|tann}}
lob,{{en-verb|lobs|lobbing|lobbed}}
lob,{{en-verb|lobb}}
turtle,{{en-verb|turtl}}
hut,{{en-verb|hutt}}
bronze,{{en-verb|bronz}}
alligator,{{en-verb}}
lavender,{{en-verb}}
suffix,{{en-verb|es}}
tide,{{en-verb|tid}}
tide,{{en-verb|tid}}
travel,{{en-verb|travels|travelling|pres_ptc2=traveling|pres_ptc2_qual=US|travelled|past2=traveled|past2_qual=US}}
plum,{{en-verb|plumm}}
saffron,{{en-verb}}
pen,{{en-verb|pens|penning|penned|past2=pent}}
pen,{{en-verb|penn}}
copper,{{en-verb}}
chair,{{en-verb}}
ochre,{{en-verb|ochr|pres_ptc2=ochreing}}
rose,{{en-verb|ros}}
tin,{{en-verb|tinn}}
alloy,{{en-verb}}
chainsaw,{{en-verb|chainsaws|chainsawing|chainsawed|chainsawed|past_ptc2=chainsawn}}
chain,{{en-verb}}
delineate,{{en-verb|delineat}}
retreat,{{en-verb}}
slate,{{en-verb|slates|slating|slated}}
vermilion,{{en-verb}}
helicopter,{{en-verb}}
mosquito,{{en-verb}}
hello,{{en-verb}}
gun,{{en-verb|gunn}}
hibernate,{{en-verb|hibernat}}
amber,{{en-verb}}
boss,{{en-verb|es}}
boss,{{en-verb|es}}
minister,{{en-verb}}
priest,{{en-verb}}
hallelujah,{{en-verb}}
scarlet,{{en-verb}}
lemon,{{en-verb}}
tower,{{en-verb|towers|towering|towered}}
diesel,{{en-verb}}
grape,{{en-verb|grapes|graping|graped}}
salsa,{{en-verb}}
upbear,{{en-verb|upbears|upbearing|upbore|upborne|past_ptc2=upbore}}
rice,{{en-verb|rices|ricing|riced|riced}}
conch,{{en-verb|conches|conching|conched}}
ray,{{en-verb}}
ray,{{en-verb}}
egg,{{en-verb}}
egg,{{en-verb}}
colour,{{en-verb}}
ruby,{{en-verb|rubies|rubying|rubied}}
charcoal,{{en-verb}}
buff,{{en-verb}}
buff,{{en-verb}}
beplaster,{{en-verb}}
unveil,{{en-verb}}
upbind,{{en-verb|upbinds|upbinding|upbound}}
masquerade,{{en-verb|masquerades|masquerading|masqueraded}}
whitewash,{{en-verb|es}}
snowplow,{{en-verb}}
fortune,{{en-verb|fortun}}
semaphore,{{en-verb|semaphor}}
overweight,{{en-verb}}
luck,{{en-verb}}
bepelt,{{en-verb}}
palace,{{en-verb|palac}}
upbreathe,{{en-verb|upbreathes|upbreathing|upbreathed}}
safari,{{en-verb}}
leaflet,{{en-verb|leaflets|leafleting|pres_ptc2=leafletting|leafleted|past2=leafletted}}
tract,{{en-verb}}
duct,{{en-verb}}
gnaw,{{en-verb|gnaws|gnawing|gnawed|past2=gnew|past2_qual=dialectal|gnawed|past_ptc2=gnawn}}
toilet,{{en-verb}}
bucket,{{en-verb}}
dub,{{en-verb|dubb}}
dub,{{en-verb|dubb}}
dub,{{en-verb|dubb}}
proverb,{{en-verb}}
god,{{en-verb|godd}}
ba,{{en-verb}}
bad,{{en-verb|badd}}
friend,{{en-verb}}
gripe,{{en-verb|grip}}
hammock,{{en-verb}}
handfast,{{en-verb}}
upbraid,{{en-verb}}
soak,{{en-verb}}
tamp,{{en-verb|tamps|tamping|tamped|tamped}}
soil,{{en-verb}}
soil,{{en-verb}}
mulch,{{en-verb|es}}
bam,{{en-verb|bams|bamming|bammed|bammed}}
ban,{{en-verb|bans|banning|banned|banned}}
bat,{{en-verb|batt}}
bat,{{en-verb|bats|batting|batted}}
beat,{{en-verb|beats|beating|beat|beaten|past_ptc2=beat}}
bed,{{en-verb|bedd}}
BS,{{en-verb|es}}
MC,{{en-verb}}
TA,{{en-verb|TAs|TAing|TAd|pres_3sg2=TA's|pres_ptc2=TA'ing|past2=TA'd}}
sanction,{{en-verb}}
hear,{{en-verb|hears|hearing|heard}}
listen,{{en-verb}}
touch,{{en-verb|es}}
bite,{{en-verb|bites|biting|bit|bitten|past_ptc2=bit|past_ptc2_qual=rare}}
smile,{{en-verb|smil}}
think,{{en-verb|thinks|thinking|thought}}
think,{{en-verb|thinks|thinking|thought|thought}}
talk,{{en-verb}}
remember,{{en-verb}}
sing,{{en-verb|sings|singing|sang|sung|past_ptc2=sungen|past_ptc2_qual=archaic}}
cry,{{en-verb|cr|ies}}
tear,{{en-verb|tears|tearing|tore|torn}}
tear,{{en-verb}}
eye,{{en-verb|eyes|eyeing|pres_ptc2=eying|eyed}}
breathe,{{en-verb|breathes|breathing|breathed}}
beg,{{en-verb|begg}}
begin,{{en-verb|begins|beginning|began|begun}}
sound,{{en-verb}}
sound,{{en-verb}}
OK,{{en-verb}}
voice,{{en-verb|voic}}
save,{{en-verb|sav}}
piece,{{en-verb|piec}}
read,"{{en-verb|reads|reading|read|read|past_ptc2=readen|past_ptc2_qual=archaic, dialectal}}"
draw,{{en-verb|draws|drawing|drew|drawn}}
unvessel,{{en-verb}}
upbreak,{{en-verb|upbreaks|upbreaking|upbroke|upbroken}}
look,{{en-verb}}
graffiti,{{en-verb}}
jargon,{{en-verb}}
slang,{{en-verb}}
twit,{{en-verb|twitt}}
bruit,{{en-verb}}
bepowder,{{en-verb}}
graft,{{en-verb}}
graft,{{en-verb}}
handicap,{{en-verb|handicapp}}
unvicar,{{en-verb}}
upbreed,{{en-verb|upbreeds|upbreeding|upbred|upbred}}
tooth,{{en-verb}}
ear,{{en-verb}}
ear,{{en-verb}}
ear,{{en-verb}}
nose,{{en-verb|nos}}
mouth,{{en-verb}}
tongue,{{en-verb|tongues|tonguing|tongued}}
elbow,{{en-verb}}
leg,{{en-verb|legg}}
foot,{{en-verb}}
knee,{{en-verb|d}}
neck,{{en-verb}}
canary,{{en-verb|canar|ies}}
phrase,{{en-verb|phras}}
snail,{{en-verb}}
angel,{{en-verb}}
predicate,{{en-verb|predicat}}
clause,{{en-verb|claus}}
face,{{en-verb|fac}}
slug,{{en-verb|slugg}}
perfect,{{en-verb}}
precise,{{en-verb|precis}}
